id,name_zh,name_my,ingredients_zh,ingredients_my,category,difficulty,heaviness,base_portions,image_url,steps_zh,steps_my
1,麻婆豆腐,မာပိုတို့ဖူး,豆腐:2:box;猪肉沫:150:g;花椒:10:g,တို့ဖူး:2:box;ဝက်သား:150:g;ငရုတ်ကောင်း:10:g,荤菜,3,重口,5,./assets/mapo_tofu.png,1. 豆腐切丁并在加盐沸水中焯水1分钟捞出;2. 热锅凉油，下肉沫煸炒出油脂微黄;3. 下入郫县豆瓣酱和辣椒面炒出红油，加葱姜蒜末爆香;4. 倒入高汤或清水烧开，下豆腐慢煮转小火;5. 勾薄芡三次使其浓稠，起锅撒上花椒面和葱花,1. တို့ဖူးကိုအတုံးလေးများလှီးပြီးရေနွေးဖြောပါ;2. ဆီပူတွင်ဝက်သားကိုအဆီထွက်သည်အထိကြော်ပါ;3. ငရုတ်နှစ်နှင့်ငရုတ်သီးမှုန့်ထည့်ပြီးမွှေးအောင်ကြော်ပါ;4. ရေ (သို့) ဟင်းရည်ထည့်ပြီးတို့ဖူးကိုမီးအေးအေးဖြင့်တည်ပါ;5. ကော်မှုန့်ရည်ထည့်၍ပျစ်အောင်လုပ်ပြီးငရုတ်ကောင်းနှင့်ကြက်သွန်မြိတ်ဖြူးပါ
2,清炒土豆丝,အာလူးကြော်,土豆:2:pc;大干葱:1:pc,အာလူး:2:pc;ကြက်သွန်နီ:1:pc,素菜,2,清淡,5,./assets/qingchao_tudousi.png,1. 土豆去皮切细丝，水洗三遍洗去淀粉后沥干;2. 热锅下油，放入干辣椒和蒜末爆香;3. 大火倒入土豆丝快速翻炒至断生;4. 沿锅边淋入香醋和盐，翻匀出锅,1. အာလူးမျှင်များကိုကစီဓာတ်ကုန်သည်အထိရေဆေးပါ;2. ဆီပူတွင်ငရုတ်သီးခြောက်နှင့်ကြက်သွန်ဖြူကိုဆီသတ်ပါ;3. အာလူးမျှင်များကိုမီးပြင်းပြင်းဖြင့်အမြန်ကြော်ပါ;4. ရှာလကာရည်နှင့်ဆားထည့်၍သမအောင်မွှေပြီးချပါ
3,番茄炒蛋,ခရမ်းချဉ်သီးကြက်ဥကြော်,番茄:3:pc;鸡蛋:4:pc,ခရမ်းချဉ်သီး:3:pc;ကြက်ဥ:4:pc,荤菜,1,适中,5,./assets/tomato_egg.png,1. 鸡蛋打散，番茄切块备用;2. 热锅宽油，倒入蛋液炒熟滑散后盛出;3. 锅留底油，下葱花炒香，放入番茄块煸炒出红鲜汁水;4. 倒入鸡蛋混合，加少许盐和糖提鲜翻匀出锅,1. ကြက်ဥခလောက်ထားပြီးခရမ်းချဉ်သီးလှီးထားပါ;2. ဆီပူတွင်ကြက်ဥကိုမွှေကြော်ပြီးဖယ်ထားပါ;3. ဆီကျန်တွင်ကြက်သွန်မြိတ်ဆီသတ်ပြီးခရမ်းချဉ်သီးထည့်ကြော်ပါ;4. ကြက်ဥပြန်ထည့်၍ဆားနှင့်သကြားအနည်းငယ်ထည့်မွှေပါ
4,回锅肉,ဝက်သားကြော်,五花肉:300:g;青椒:2:pc,ဝက်သား:300:g;ငရုတ်ปွ:2:pc,荤菜,4,重口,5,./assets/huiguorou.png,1. 五花肉冷水下锅，加姜葱料酒煮至七成熟，捞出放凉切薄片;2. 青红椒和蒜苗切小段;3. 锅不放油，直接下肉片中小火煸炒出油至卷曲（灯盏窝）;4. 把肉推到锅边，下郫县豆瓣酱和豆豉炒出红油;5. 放入蒜苗和青椒大火翻炒，加少许白糖调味出锅,1. ဝက်သားကိုရေနွေးဖြင့်ပြုတ်၍အအေးခံပြီးအပြားပါးပါးလှီးပါ;2. ငရုတ်ပွနှင့်ကြက်သွန်မြိတ်ကိုလှီးထားပါ;3. ဆီမပါဘဲဝက်သားကိုအဆီထွက်လာသည်အထိလှော်ပါ;4. ဝက်သားကိုဘေးဖယ်ပြီးငရုတ်နှစ်နှင့်ပဲငပိကိုဆီသတ်ပါ;5. ကြက်သွန်မြိတ်နှင့်ငရုတ်ပွထည့်ကြော်ပြီးသကြားအနည်းငယ်ထည့်ပါ
5,紫菜蛋花汤,ရေညှိဟင်း集ချို,紫菜:1:pack;鸡蛋:1:pc,ရေညှိ:1:pack;ကြက်ဥ:1:pc,汤,1,清淡,5,./assets/seaweed_soup.png,1. 紫菜撕碎放入汤碗，加入少许盐、香油和葱花备用;2. 鸡蛋在另一个碗中打散;3. 锅中烧开水，转小火，将蛋液呈细线状绕圈倒入锅中形成蛋花;4. 关火，将热汤连同蛋花倒入装备好紫菜的碗中即可,1. ရေညှိကိုဆုတ်၍ပန်းကန်ထဲထည့်ပြီးဆား၊နှမ်းဆီထည့်ထားပါ;2. ကြက်ဥကိုခလောက်ထားပါ;3. ရေဆူလျှင်မီးလျှော့ပြီးကြက်ဥကိုအဝိုင်းလိုက်လောင်းထည့်ပါ;4. မီးပိတ်ပြီးရေညှိပန်းကန်ထဲသို့လောင်းထည့်ပါ
6,鱼香肉丝,ငါးရနံ့ဝက်သားကြော်,瘦肉:250:g;木耳:50:g;胡萝卜:1:pc,ဝက်သား:250:g;မှို:50:g;မုန်လာဥနီ:1:pc,荤菜,4,重口,5,./assets/yuxiang_rousi.png,1. 瘦肉切丝用生抽生粉水抓匀待用;2. 木耳胡萝卜切细丝;3. 用生抽醋糖调糖醋汁;4. 热锅凉油下滑肉丝变色后放泡椒蒜末炒香;5. 加配菜断生最后倒入碗汁收汁出锅,1. ဝက်သားမျှင်များကိုပဲငံပြာရည်၊ကော်မှုန့်ဖြင့်နယ်ထားပါ;2. မှိုနှင့်မုန်လာဥနီကိုအမျှင်လှီးပါ;3. သကြား၊ရှာလကာရည်၊ပဲငံပြာရည်တို့ဖြင့်ချဉ်စပ်အရည်ဖျော်ထားပါ;4. ဝက်သားကိုအရောင်ပြောင်းသည်အထိကြော်ပြီးငရုတ်ချဉ်နှင့်ကြက်သွန်ဖြူဆီသတ်ပါ;5. အသီးအရွက်ထည့်ကြော်ပြီးဖျော်ထားသောအချဉ်ရည်လောင်းထည့်ပါ
7,白灼菜心,မုန်ညင်းဖြူပြုတ်,菜心:300:g;大蒜:2:clove,မုန်ညင်း:300:g;ကြက်သွန်ဖြူ:2:clove,素菜,1,清淡,5,./assets/baizhuo_caixin.png,1. 菜心洗净去老根;2. 水烧开加盐和油;3. 放入菜心焯水1分钟捞出码盘;4. 淋上蒸鱼豉油撒葱丝蒜末浇热油,1. မုန်ညင်းပင်များကိုရေဆေးပြီးအမြစ်ဖြတ်ပါ;2. ရေဆူထဲသို့ဆားและဆီအနည်းငယ်ထည့်ပါ;3. မုန်ညင်းကို ၁ မိနစ်ခန့်ပြုတ်ပြီးဆယ်ယူ၍ပန်းကန်တွင်စီထားပါ;4. ပဲငံပြာရည်လောင်းထည့်ပြီးကြက်သွန်ဖြူဆီပူလောင်းပါ
8,水煮肉片,ရေနွေးဝက်သား,瘦肉:400:g;豆芽:200:g;干辣椒:20:g,ဝက်သား:400:g;ပဲပင်ပေါက်:200:g;ငရုတ်သီးခြောက်:20:g,荤菜,4,重口,5,./assets/shuizhu_roupian.png,1. 瘦肉切大薄片，加盐料酒蛋清抓匀浆好;2. 豆芽白菜清水煮熟铺入碗底;3. 热油爆香豆瓣酱加水烧开捞出料渣;4. 肉片逐片滑入红汤中煮1分钟全部倒进菜盆;5. 撒干辣椒花椒蒜末，泼熟热油爆香即可,1. ဝက်သားပြားများကိုဆား၊ကြက်ဥအကာ၊ကော်မှုန့်ဖြင့်နယ်ထားပါ;2. ပဲပင်ပေါက်နှင့်မုန်ညင်းကိုပြုတ်၍ပန်းကန်အောက်ခြေတွင်ခင်းထားပါ;3. ဆီပူတွင်ငရုတ်နှစ်ကိုဆီသတ်ပြီးရေထည့်ဆူအောင်တည်ပါ;4. ဝက်သားပြားများကိုထည့်ပြုတ်ပြီးကျက်လျှင်ပန်းကန်ထဲလောင်းထည့်ပါ;5. အပေါ်မှငရုတ်သီးခြောက်၊ငရုတ်ကောင်းနှင့်ကြက်သွန်ဖြူတင်ပြီးဆီပူလောင်းချပါ
9,手撕包菜,ဂေါ်ဖီထုပ်ကြော်,包菜:1:pc;五花肉:50:g,ဂေါ်ဖီထုပ်:1:pc;ဝက်သား:50:g,素菜,2,适中,5,./assets/shousi_baocai.png,1. 包菜用手撕成小块洗净沥干水分;2. 五花肉切薄片片出油脂捞出，下干辣椒蒜片爆香;3. 倒入包菜大火爆炒至微塌，加生抽陈醋翻炒出锅,1. ဂေါ်ဖီထုပ်ကိုလက်ဖြင့်ဆုတ်ပြီးရေဆေးပါ;2. ဝက်သားအซီထွက်အောင်ကြော်ပြီးငရုတ်သီးခြောက်ဆီသတ်ပါ;3. ဂေါ်ဖီထုပ်ထည့်ကြော်ပြီးပဲငံပြာရည်၊ရှာลကာရည်ထည့်ပါ
10,冬瓜排骨汤,ကျောက်ဖရုံသီးဝက်ရိုးဟင်းချို,冬瓜:500:g;排骨:400:g,ကျောက်ဖရုံသီး:500:g;ဝက်ရိုး:400:g,汤,2,清淡,5,./assets/donggua_paigu_tang.png,1. 排骨加姜片冷水下锅焯水捞出;2. 放砂锅加足够开水小火炖1小时;3. 加冬瓜块继续炖20分钟，最后加盐和白胡椒,1. ဝက်ရိုးကိုရေနွေးဖြောပြီးသွေးရည်များဖယ်ရှားပါ;2. ဝက်ရိုးကိုချင်း၊ကြက်သွန်မြိတ်တို့ဖြင့်၁နာရီခန့်စွပ်ပြုတ်တည်ပါ;3. ကျောက်ဖရုံသီးထည့်ပြီးမိနစ်၂၀ထပ်တည်ပါ၊ဆားနှင့်ငရုတ်ကောင်းမှုန့်ထည့်ပါ
11,炖ABC汤,ABC ဟင်းချို,排骨:400:g;胡萝卜:2:pc;土豆:2:pc;洋葱:1:pc,ဝက်ရိုး:400:g;မုန်လာဥနီ:2:pc;အာလူး:2:pc;ကြက်သွန်နီ:1:pc,汤,2,适中,5,./assets/abc_tang.png,1. 排骨焯水洗净;2. 胡萝卜、土豆、洋葱切块;3. 一起加水大火烧开转小火慢炖1.5小时，放盐出锅,1. ဝက်ရိုးကိုရေနွေးဖြောပါ;2. မုန်လာဥနီ၊အာလူး၊ကြက်သွန်နီများကိုအတုံးကြီးကြီးလှီးပါ;3. အားလုံးကိုပေါင်း၍ ၁နာရီခွဲခန့်မီးအေးအေးဖြင့်တည်ပြီးဆားထည့်ပါ
12,空气炸锅鸡腿,လေကြော်စက် ကြက်ပေါင်,鸡腿:4:pc;生抽:20:ml,ကြက်ပေါင်:4:pc;ပဲငံပြာရည်:20:ml,荤菜,1,适中,5,./assets/airfryer_chicken_leg.png,1. 鸡腿洗净划两刀，用生抽老抽料酒腌制2小时;2. 空气炸锅180度烤15分钟;3. 翻面继续烤10分钟至表面微焦,1. ကြက်ပေါင်ကိုဓားရာပေးပြီးအရသာစုံဖြင့်၂နာရီနယ်ထားပါ;2. လေကြော်စက်တွင် ၁၈၀ဒီဂရီဖြင့် ၁၅မိနစ်ကင်ပါ;3. တဖက်လှန်ပြီး နောက်ထပ် ၁၀မိနစ်ကင်ပါ
13,空气炸锅排骨,လေကြော်စက် ဝက်ရိုး,排骨:500:g;生抽:20:ml,ဝက်ရိုး:500:g;ပဲငံပြာရည်:20:ml,荤菜,2,适中,5,./assets/airfryer_ribs.png,1. 肋排洗净擦干，用生抽料酒盐腌半小时;2. 裹上薄薄红薯淀粉;3. 180度炸15分钟，翻面炸8分钟,1. ဝက်ရိုးကိုအရသာဝင်အောင်နာရီဝက်နယ်ထားပါ;2. ကန်စွန်းဥကော်မှုန့်ပါးပါးကပ်ပါ;3. ၁၈၀ဒီဂရီဖြင့် ၁၅မိနစ်ကင်ပြီး တဖက်လှန်၍ ၈မိနစ်ကင်ပါ
14,烧鸡公,ကြက်သားဟင်းစပ်,鸡肉:800:g;干辣椒:20:g;姜:10:g,ကြက်သား:800:g;ငရုတ်သီးခြောက်:20:g;ချင်း:10:g,荤菜,4,重口,5,./assets/shaojigong.png,1. 鸡肉斩块洗净，锅中大火将其炒至干焦出油;2. 加葱姜蒜、干辣椒、豆瓣酱炒出红油;3. 加开水没过鸡块，盖盖中火烧30分钟收汁,1. ကြက်သားကိုခုတ်ထစ်ပြီးအရေခွံကျွတ်သည်အထိမီးပြင်းပြင်းဖြင့်ကြော်ပါ;2. အမွှေးအကြိုင်များနှင့်ငရုတ်နှစ်ထည့်ကြော်ပါ;3. ရေထည့်ပြီးမိနစ်၃၀ခန့်တည်ပါ
15,干锅花菜,ပန်းဂေါ်ဖီအခြောက်ကြော်,花菜:1:pc;五花肉:50:g,ပန်းဂေါ်ဖီ:1:pc;ဝက်သား:50:g,半荤半素,3,重口,5,./assets/ganguo_huacai.png,1. 花菜切小朵过滚水焯半分钟;2. 五花肉煸炒出油，放干辣椒蒜片;3. 倒入花菜大火翻炒，淋生抽炒至微焦,1. ပန်းဂေါ်ဖီကိုရေနွေးဖြောပါ;2. ဝက်သားအဆီထွက်အောင်ကြော်ပြီးอမွှေးအကြိုင်များထည့်ပါ;3. ပန်းဂေါ်ဖီထည့်ကြော်ပြီးပဲငံပြာရည်ထည့်ပါ
16,水煮牛肉,အမဲသားပြုတ်စပ်,牛肉片:400:g;白菜:300:g;干辣椒:20:g,အမဲသားပြား:400:g;မုန်ညင်းဖြူ:300:g;ငရုတ်သီးအခြောက်:20:g,荤菜,4,重口,5,./assets/shuizhu_niurou.png,1. 牛肉切薄片抓淀粉码味，将蔬菜灼熟垫底;2. 爆香豆瓣酱煮开红汤;3. 牛肉下锅变色后捞出放在菜上;4. 面上撒干辣椒和蒜泥泼热油,1. အမဲသားပြားကိုအရသာနယ်ပြီးကော်မှုန့်ဖြင့်အုပ်ထားပါ၊အသီးအရွက်ပြုတ်၍ခင်းပါ;2. ငရုတ်နှစ်ဆီသတ်ပြီးဟင်းရည်ဆူအောင်တည်ပါ;3. အမဲသားများထည့်ပြုတ်ပြီးအရွက်ပေါ်တင်ပါ;4. ငရုတ်သီးတင်ပြီးဆီပူလောင်းပါ
17,牛肉丝,အမဲသားမျှင်ကြော်,牛肉:300:g;青椒:2:pc,အမဲသား:300:g;ငရုတ်ပွ:2:pc,荤菜,3,适中,5,./assets/niurousi.png,1. 牛肉切细丝抓匀加一点油锁水待用;2. 青椒切丝;3. 大火热油下牛肉立刻划散盛出;4. 余油炒软青椒加牛肉调味翻匀,1. အမဲသားကိုအမျှင်လှီးပြီးကော်မှုန့်၊ဆီဖြင့်နယ်ထားပါ;2. ငရုတ်ပွကိုအမျှင်လှီးပါ;3. အမဲသားကိုဆီပူတွင်အမြန်ကြော်ပြီးဖယ်ထားပါ;4. ငရုတ်ပွကြော်ပြီးအမဲသားပြန်ထည့်ကာအရသာသွင်းပါ
18,蛋炒饭,ကြက်ဥထමင်းကြော်,米饭:500:g;鸡蛋:3:pc;葱:1:pc,ထမင်း:500:g;ကြက်ဥ:3:pc;ကြက်သွန်မြိတ်:1:pc,主食,2,适中,5,./assets/danchaofan.png,1. 剩米饭捏散备用;2. 鸡蛋打散，热锅下油炒碎;3. 倒入米饭不停翻炒至米粒跳动粒粒分明;4. 加适量盐和胡椒粉出锅,1. ထမင်းကြမ်းကိုဖြည်ထားပါ;2. ကြက်ဥခလောက်ပြီးဆီပူတွင်မွှေကြော်ပါ;3. ထမင်းထည့်ပြီးထမင်းစေ့များကွဲသည်အထိကြော်ပါ;4. ဆား၊ငရုတ်ကောင်းထည့်ပါ
19,红油蘸水(配饺子),ငရုတ်ဆီအချဉ်ရည်,油辣椒:20:g;生抽:15:ml;保宁醋(或陈醋):10:ml;蒜末:10:g;白糖:3:g,ငရုတ်ဆီ:20:g;ပဲငံပြာရည်:15:ml;ရှာလကာရည်:10:ml;ကြက်သွန်ဖြူ:10:g;သကြား:3:g,素菜,1,重口,5,./assets/chili_oil.png,1. 大蒜捣成蒜末备用;2. 碗中加入一大勺带底渣的油辣椒;3. 倒入生抽、陈醋，加入蒜末和少许白糖提鲜;4. 搅拌均匀后即可作为饺子或白肉的四川蘸水,1. ကြက်သွန်ဖြူကိုထောင်းထားပါ;2. ပန်းကန်ထဲတွင်ငရုတ်ဆီတစ်ဇွန်းအပြည့်ထည့်ပါ;3. ပဲငံပြာရည်၊ရှာလကာရည်၊ကြက်သွန်ဖြူနှင့်သကြားအနည်းငယ်ထည့်ပါ;4. သမအောင်မွှေ၍ဖက်ထုပ်(သို့)အသားပြုတ်အချဉ်ရည်အဖြစ်သုံးပါ
20,煮饺子（干）,ဖက်ထုပ်ပြုတ်,饺子:30:pc,ဖက်ထုပ်:30:pc,主食,1,适中,5,./assets/dumplings.png,1. 大锅宽水烧开，下入速冻饺子后用漏勺推匀防粘锅底;2. 煮沸后点少许冷水降温，反复点三次水（三开三点）;3. 待饺子全部鼓胀浮在水面上，捞出沥干水分装盘即可,1. ရေဆူလာလျှင်ရေခဲသေတ္တာထဲမှဖက်ထုပ်များထည့်ပြီးမကပ်အောင်မွှေပါ;2. ရေဆူလျှင်ရေအေးအနည်းငယ်ထည့်ပါ၊၃ကြိမ်ပြုလုပ်ပါ;3. ဖက်ထုပ်များဖောင်းလာပြီးရေပေါ်ပေါ်လာလျှင်ဆယ်၍ရေစစ်ပါ
21,蒜蓉炒荷兰豆(豌豆片),ပဲတောင့်အပြားကြော်,荷兰豆:250:g;蒜:3:clove,ပဲတောင့်အပြား:250:g;ကြက်သွန်ဖြူ:3:clove,素菜,2,清淡,5,./assets/stir_fried_peas.png,1. 荷兰豆撕去两端老筋洗净并沥干水分;2. 热锅下少许猪油或食用油，爆香蒜末;3. 倒入荷兰豆大火快速翻炒1到2分钟至变色断生;4. 加少许盐调味，出锅装盘保持爽脆,1. ပဲတောင့်အပြားများကိုအကြောသင်ပြီးရေဆေးကာရေစစ်ထားပါ;2. ဆီပူတွင်ကြက်သွန်ဖြူကိုဆီသတ်ပါ;3. ပဲတောင့်များအရောင်စိမ်းလာသည်အထိမီးပြင်းပြင်းဖြင့်၁မိနစ်မှ၂မိနစ်ခန့်အမြန်ကြော်ပါ;4. ဆားအနည်းငယ်ထည့်၍ကြွပ်ရွနေစေရန်ချက်ချင်းချပါ
22,川味萝卜红烧牛肉,အမဲသားစွပ်ပြုတ်,牛腩:600:g;白萝卜:1:pc;豆瓣酱:20:g;姜蒜:20:g,အမဲသား:600:g;မုန်လာဥဖြူ:1:pc;ပဲပိစပ်ငရုတ်နှစ်:20:g;ချင်းနှင့်ကြက်သွန်ဖြူ:20:g,荤菜,3,重口,5,./assets/stewed_beef.png,1. 牛腩切块冷水下锅加料酒焯烫出血沫后捞出洗净;2. 热锅下油，爆香姜蒜块，加入郫县豆瓣酱炒出红油，放入八角桂皮和牛肉翻炒上色;3. 加入没过食材的热水，加生抽老抽，小火加盖慢炖一个半小时;4. 放入切块的白萝卜，继续炖30分钟至软烂，大火收浓汤汁,1. အမဲသားကိုရေနွေးဖြောပြီးသွေးရည်ဖယ်ပါ;2. ဆီပူတွင်ချင်း၊ကြက်သွန်ဖြူ၊ငရုတ်နှစ်တို့ကိုဆီသတ်ပြီးနာနတ်ပွင့်၊သစ်ကြံပိုးခေါက်နှင့်အမဲသားထည့်ကြော်ပါ;3. ရေနွေး၊ပဲငံပြာရည်ထည့်ပြီးမီးအေးအေးဖြင့်၁နာရီခွဲတည်ပါ;4. မုန်လာဥဖြူတုံးများထည့်ပြီးနူးသည်အထိနောက်ထပ်မိနစ်၃၀တည်ပါ
23,油麦菜炒豆豉鱼,ဆလတ်ရွက်နှင့်ပဲငပိငါးသေတ္တာကြော်,油麦菜:300:g;豆豉鲮鱼:1:can;蒜瓣:2:clove,ဆလတ်ရွက်:300:g;ပဲငပိငါးသေတ္တာ:1:can;ကြက်သွန်ဖြူ:2:clove,半荤半素,1,适中,5,./assets/youmaicai_douchiyu.png,1. 油麦菜洗净切段，将豆豉鲮鱼罐头打开，鱼肉撕成小块;2. 锅中烧热出罐头里的油，爆香蒜末;3. 倒入油麦菜大火快速翻炒至微软;4. 加入豆豉和鱼块翻炒均匀，出锅装盘即可,1. ဆလတ်ရွက်ကိုရေဆေးပြီးဖြတ်ပါ၊ငါးသေတ္တာကိုဖွင့်၍ငါးကိုအသားနွှာပါ;2. ငါးသေတ္တာထဲမှဆီကိုအပူပေးပြီးကြက်သွန်ဖြူကိုဆီသတ်ပါ;3. ဆလတ်ရွက်ထည့်ပြီးမီးပြင်းပြင်းဖြင့်အမြန်ကြော်ပါ;4. ပဲငပိနှင့်ငါးအသားများထည့်ကြော်ပြီးချပါ
24,午餐肉丁炒玉米粒,နေ့လယ်စာဝက်အူချောင်းနှင့်ပြောင်းဖူးစေ့ကြော်,午餐肉:150:g;玉米粒:200:g;胡萝卜:0.5:pc,နေ့လယ်စာဝက်အူချောင်း:150:g;ပြောင်းဖူးစေ့:200:g;မုန်လာဥနီ:0.5:pc,半荤半素,1,适中,5,./assets/wucanrou_yumi.png,1. 午餐肉切小丁，胡萝卜去皮切小丁备用;2. 水开后下入胡萝卜丁和玉米粒焯水1分钟捞出沥干;3. 热锅放少许油，下入午餐肉丁小火煎至表面微黄;4. 倒入玉米粒和胡萝卜丁大火快速翻炒均匀;5. 加入少许盐调味，翻炒均匀出锅即可,1. နေ့လယ်စာဝက်အူချောင်းနှင့်မုန်လာဥနီကိုအတုံးသေးသေးလှီးပါ;2. ရေဆူတွင်မုန်လာဥနီနှင့်ပြောင်းဖူးစေ့ကို၁မိနစ်ခန့်ပြုတ်ပြီးဆယ်၍ရေစစ်ပါ;3. ဆီအနည်းငယ်ဖြင့်ဝက်အူချောင်းကိုအရောင်ပြောင်းသည်အထိကြော်ပါ;4. ပြောင်းဖူးစေ့နှင့်မုန်လာဥနီထည့်ပြီးမီးပြင်းပြင်းဖြင့်ကြော်ပါ;5. ဆားအနည်းငယ်ထည့်၍သမအောင်မွှေပြီးချပါ
